City,Country,Latitude,Long,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
Heihe,CN,33.22,106.45,32.86,99,68,2.04
Hirara,JP,24.8,125.28,74.49,100,0,16.46
Vanimo,PG,-2.67,141.3,83.35,100,88,13.11
Wad Rawah,SD,15.16,33.13,80.47,18,0,10.54
Galle,LK,6.04,80.22,76.02,100,80,5.06
Sunrise Manor,US,36.21,-115.07,53.96,20,1,3.6
Manzhouli,CN,49.6,117.43,0.87,48,0,8.63
Cairns,AU,-16.92,145.77,86.0,58,0,3.36
Calama,CL,-22.46,-68.93,69.13,27,0,5.73
La Seyne-sur-Mer,FR,43.1,5.88,53.6,96,0,21.92
Noyabrsk,RU,63.2,75.45,-5.48,70,76,8.97
Nanchong,CN,30.8,106.08,48.88,97,44,4.38
Gazli,UZ,40.13,63.45,30.25,74,32,2.71
Qianan,CN,44.99,124.06,18.91,32,0,15.46
Anadyr,RU,64.73,177.51,-14.81,75,20,13.42
Cockburn Town,TC,21.46,-71.14,80.29,100,64,7.96
Kenai,US,60.55,-151.26,35.96,96,75,9.17
Newport,US,41.49,-71.31,44.96,70,75,18.34
Copperas Cove,US,31.12,-97.9,61.16,28,1,10.29
Shubarshi,KZ,48.59,57.19,30.43,95,92,10.2
Kouroussa,GN,10.65,-9.88,89.2,27,0,8.75
Moche,PE,-8.17,-79.01,71.6,73,20,13.87
Udarnyy,RU,54.34,42.86,12.52,85,56,2.71
Constitucion,MX,23.99,-104.67,57.2,41,75,8.05
Viedma,AR,-40.81,-62.99,70.84,74,88,8.63
Jardim,BR,-21.48,-56.15,90.55,59,32,9.53
Ayagoz,KZ,47.96,80.43,22.06,79,80,7.18
The Valley,AI,18.22,-63.06,84.2,69,40,10.29
Verkhnyaya Inta,RU,65.99,60.32,-0.26,65,80,3.04
Marystown,CA,47.17,-55.16,39.39,93,48,13.56
Boa Vista,BR,2.82,-60.67,78.04,100,92,4.16
Miles City,US,46.41,-105.84,39.92,59,20,9.17
Rodino,RU,52.5,80.2,15.4,80,80,11.65
Vadso,NO,70.07,29.75,26.6,85,40,11.41
Mukhen,RU,48.19,136.14,16.89,54,64,9.53
High Level,CA,58.52,-117.13,28.09,97,80,6.73
Tsiroanomandidy,MG,-18.77,46.05,62.92,94,44,3.15
Plettenberg Bay,ZA,-34.05,23.37,57.34,100,76,15.12
Krasnovishersk,RU,60.4,57.08,18.87,90,80,5.06
Babu,CN,23.23,104.89,40.24,88,0,2.37
Mongoumba,CF,3.64,18.59,80.29,74,32,3.15
Touros,BR,-5.2,-35.46,87.8,58,40,14.99
Hellvik,NO,59.92,5.78,37.4,59,75,11.41
Svetlogorsk,RU,53.14,59.15,21.2,73,90,6.71
Fortuna,US,40.6,-124.16,55.94,93,75,13.87
Karpogory,RU,64.0,44.44,10.14,81,68,5.17
Nalut,LY,31.86,10.98,52.21,51,0,8.41
Huilong,CN,31.15,106.5,43.39,92,12,2.59
Akcaabat,TR,41.02,39.57,69.8,37,75,14.99
Aguilas,ES,37.41,-1.58,57.2,58,0,4.7
Vista Hermosa,CO,8.37,-73.29,75.57,78,68,1.92
Bryan,US,30.67,-96.37,58.46,34,1,9.17
Charters Towers,AU,-20.07,146.27,72.24,89,56,4.72
Snasa,NO,64.25,12.38,26.6,92,20,10.29
Ontario,US,34.07,-117.65,71.96,20,1,5.82
Mandera,KE,3.94,41.87,73.72,86,12,3.6
Puerto Carreno,CO,6.19,-67.49,89.6,62,75,5.82
Bajna,IN,23.27,74.62,65.71,59,48,8.52
Prince Rupert,CA,54.32,-130.32,46.4,93,90,3.36
Boende,CD,-0.28,20.88,73.54,96,64,0.69
Lovrenc na Pohorju,SI,46.54,15.39,35.6,78,75,2.24
Henties Bay,NA,-22.12,14.28,62.92,89,0,10.2
Lubao,CD,-5.39,25.75,72.28,94,12,1.48
Nyurba,RU,63.29,118.35,-25.15,38,68,2.71
